path_signal,path_target
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0000.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0000.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0001.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0001.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0002.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0002.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0003.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0003.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0004.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0004.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0005.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0005.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0006.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0006.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0007.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0007.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0008.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0008.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0009.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0009.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0010.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0010.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0011.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0011.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0012.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0012.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0013.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0013.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0014.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0014.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0015.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0015.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0016.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0016.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0017.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0017.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0018.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0018.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0019.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0019.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0020.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0020.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0021.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0021.tif
