path_czi,channel_signal,channel_target
data/alpha_tubulin/3500000693_100X_20170310_D04_P13.czi,6,3
data/alpha_tubulin/3500000645_10X_20170301_E06_P40.czi,6,3
data/alpha_tubulin/3500000693_100X_20170310_D06_P36.czi,6,3
data/alpha_tubulin/3500000666_100X_20170303_E07_P34.czi,6,3
data/alpha_tubulin/3500000781_100X_20170331_e-Scene-02-P6-D04.czi,6,3
data/alpha_tubulin/3500000645_10X_20170301_E07_P09.czi,6,3
data/alpha_tubulin/3500000765_100X_20170328_4-Scene-05-P40-D05.czi,6,3
data/alpha_tubulin/3500000680_100X_20170307_E08_P01.czi,3,1
data/alpha_tubulin/3500000666_100X_20170303_E08_P36.czi,6,3
data/alpha_tubulin/3500000695_100X_20170310_E05_P15_P16-Scene-1-P15-E05.czi,3,1
data/alpha_tubulin/3500000765_100X_20170328_4-Scene-08-P49-D05.czi,6,3
data/alpha_tubulin/3500000765_100X_20170328_2-Scene-07-P20-D04.czi,6,3
data/alpha_tubulin/3500000781_100X_20170331_c-Scene-10-P28-D08.czi,6,3
data/alpha_tubulin/3500000654_100X_20170301_F08_P1.czi,3,1
data/alpha_tubulin/3500000765_100X_20170328_4-Scene-04-P37-D05.czi,6,3
data/alpha_tubulin/3500000781_100X_20170331_e-Scene-09-P27-D08.czi,6,3
data/alpha_tubulin/3500000666_100X_20170303_E08_P35.czi,6,3
data/alpha_tubulin/3500000781_100X_20170331_r1-Scene-1-P2-D04.czi,6,3
data/alpha_tubulin/3500000684_100X_20170307_E06_P31.czi,6,3
data/alpha_tubulin/3500000722_100X_20170317_E04_P27.czi,6,3
data/alpha_tubulin/3500000635_100X_20170227_E07_P06.czi,3,1
data/alpha_tubulin/3500000741_100X_20170324_D04_P33.czi,3,1
data/alpha_tubulin/3500000645_10X_20170301_E06_P30.czi,6,3
data/alpha_tubulin/3500000668_100X_20170306_E05_P25.czi,3,1
data/alpha_tubulin/3500000741_100X_20170324_D04_P19.czi,3,1
data/alpha_tubulin/3500000684_100X_20170307_E06_P24.czi,6,3
data/alpha_tubulin/3500000527_100X_20170314_D07_P30.czi,6,3
data/alpha_tubulin/3500000738_100X_20170321_4-Scene-6-P34-E04.czi,3,1
data/alpha_tubulin/3500000680_100X_20170307_F04_P35.czi,3,1
data/alpha_tubulin/3500000523_100X_20170314_D06_P17.czi,3,1
