path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_1-Scene-3-P3-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_1-Scene-5-P5-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_1-Scene-6-P6-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-01-P9-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-02-P11-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-03-P12-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-04-P13-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-05-P15-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-06-P17-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-07-P18-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_2-Scene-09-P20-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_3-Scene-1-P21-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_4-Scene-01-P22-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_4-Scene-04-P25-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_4-Scene-05-P26-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_4-Scene-07-P30-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001221/ZSD1/100X_zstack/3500001221_100X_20170822_4-Scene-08-P31-E04.czi,6,3
