path_czi,channel_signal,channel_target
data/beta_actin/3500001200_100X_20170818_1-Scene-28-P28-E07.czi,6,3
data/beta_actin/3500001309_100X_20170919_16_184_1-Scene-07-P21-E08.czi,6,3
data/beta_actin/3500001200_100X_20170818_1-Scene-26-P26-E07.czi,6,3
data/beta_actin/3500001307_100X_20170919_16_184_2-Scene-11-P42-F08.czi,6,3
data/beta_actin/3500001238_10X_20170828_2-Scene-21-P25-E06.czi,6,3
data/beta_actin/3500001200_100X_20170818_1-Scene-16-P16-E06.czi,6,3
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-01-P1-E04.czi,6,3
data/beta_actin/3500001200_100X_20170818_1-Scene-08-P8-E05.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-09-P29-E08.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-17-P37-F04.czi,6,3
data/beta_actin/3500001222_100X_20170822_4-Scene-11-P35-F06.czi,6,3
data/beta_actin/3500001221_100X_20170822_4-Scene-06-P27-F08.czi,6,3
data/beta_actin/3500001199_100X_20170818_16_184_2-Scene-02-P32-E07.czi,6,3
data/beta_actin/3500001308_100X_20170919_1-Scene-7-P24-E08.czi,6,3
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-09-P9-E04.czi,6,3
data/beta_actin/3500001221_100X_20170822_1-Scene-6-P6-E08.czi,6,3
data/beta_actin/3500001310_100X_20170919_1-Scene-09-P27-E07.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-16-P36-F04.czi,6,3
data/beta_actin/3500001222_100X_20170822_2-Scene-05-P7-E05.czi,6,3
data/beta_actin/3500001221_100X_20170822_4-Scene-07-P30-E04.czi,6,3
data/beta_actin/3500001307_100X_20170919_16_184_2-Scene-01-P12-F05.czi,6,3
data/beta_actin/3500001199_100X_20170818_16_184_1-Scene-08-P8-E04.czi,6,3
data/beta_actin/3500001200_100X_20170818_1-Scene-13-P13-E06.czi,6,3
data/beta_actin/3500001199_100X_20170818_16_184_2-Scene-11-P41-F05.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-06-P26-E08.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-04-P24-E08.czi,6,3
data/beta_actin/3500001245_100X_20170828_2-Scene-13-P33-F04.czi,6,3
data/beta_actin/3500001245_100X_20170828_1-Scene-16-P16-E07.czi,6,3
data/beta_actin/3500001309_100X_20170919_16_184_1-Scene-03-P9-E04.czi,6,3
data/beta_actin/3500001200_100X_20170818_1-Scene-05-P5-E05.czi,6,3
