,Unnamed: 0,Unnamed: 0.1,path_signal,path_target,path_signal_transformed,path_prediction,path_prediction_unpropped,mbp_file,tform,predicted_tform,pixel_error
0,0,0,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_000_2098862426/Tile_r3-c3_S_000_209886_flip_flip.tif,,00/signal_transformed.tiff,00/prediction.tiff,00/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0000_F0011_Z00.tif,-0.0046437579 -0.0988964310 0.0986405968 -0.0049864782 272.7674635255 1446.6632990887,-0.006105 -0.099813 0.099813 -0.006105 272.718531 1449.438750,1.1637061287495287
1,1,1,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_001_558789997/Tile_r3-c1_S_001_55878_flip_flip.tif,,01/signal_transformed.tiff,01/prediction.tiff,01/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0001_F0004_Z00.tif,-0.0258190579 -0.0923587083 0.0920648067 -0.0260278643 1670.9884217326 1232.8813690198,-0.026724 -0.096363 0.096363 -0.026724 1668.770594 1233.315162,3.161093142077905
2,2,2,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_002_141525203/Tile_r3-c2_S_002_14152_flip_flip.tif,,02/signal_transformed.tiff,02/prediction.tiff,02/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0002_F0011_Z00.tif,-0.0077234501 -0.0986511247 0.0984965620 -0.0083367948 292.0067838497 1568.9451232418,-0.008716 -0.099619 0.099619 -0.008716 290.822078 1570.251283,0.9830609846850537
3,3,3,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_003_154817972/Tile_r2-c3_S_003_15481_flip_flip.tif,,03/signal_transformed.tiff,03/prediction.tiff,03/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0003_F0005_Z00.tif,-0.0280450325 -0.0918942940 0.0911787809 -0.0277712975 55.0267176645 954.6223650620,-0.073076 -0.068264 0.068264 -0.073076 934.609146 1119.004595,976.7943506769504
4,4,4,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_004_564528805/Tile_r1-c2_S_004_56452_flip_flip.tif,,04/signal_transformed.tiff,04/prediction.tiff,04/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0004_F0013_Z00.tif,-0.0002150571 0.0973786446 -0.0966739213 0.0001099492 373.1884153249 1334.0180202426,0.001658 0.099986 -0.099986 0.001658 369.746201 1330.766819,4.6574856305198375
5,5,5,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_005_685488446/Tile_r1-c1_S_005_68548_flip_flip.tif,,05/signal_transformed.tiff,05/prediction.tiff,05/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0005_F0013_Z00.tif,-0.0001816753 0.0971506793 -0.0967384604 -0.0000949872 386.6011224348 1219.9608292055,0.001658 0.099986 -0.099986 0.001658 383.746201 1215.766819,4.665189162100051
6,6,6,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_006_458731990/Tile_r1-c1_S_006_45873_flip_flip.tif,,06/signal_transformed.tiff,06/prediction.tiff,06/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0006_F0011_Z00.tif,-0.0105788207 -0.0984169073 0.0984430985 -0.0104435120 560.9311128579 1613.6269016693,-0.011320 -0.099357 0.099357 -0.011320 561.972352 1614.008130,0.6449551959203662
7,7,7,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_007_773037341/Tile_r2-c2_S_007_77303_flip_flip.tif,,07/signal_transformed.tiff,07/prediction.tiff,07/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0007_F0013_Z00.tif,0.0027165720 0.0972278290 -0.0971196320 0.0024731937 513.6815852257 1366.4800387804,0.003403 0.099942 -0.099942 0.003403 515.404516 1362.491381,1.6596349291185963
8,8,8,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_008_1481721747/Tile_r2-c2_S_008_148172_flip_flip.tif,,08/signal_transformed.tiff,08/prediction.tiff,08/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0008_F0013_Z00.tif,0.0039479601 0.0974094081 -0.0972953712 0.0037068620 514.3999347976 1359.9458846781,0.005146 0.099867 -0.099867 0.005146 515.040777 1355.239553,2.2761440057437663
9,9,9,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_009_53463499/Tile_r2-c3_S_009_5346_flip_flip.tif,,09/signal_transformed.tiff,09/prediction.tiff,09/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0009_F0011_Z00.tif,-0.0120881363 -0.0984890986 0.0983315505 -0.0119343495 423.9355576850 1393.6884839635,-0.013053 -0.099144 0.099144 -0.013053 425.431100 1394.147829,0.7222782649995582
