path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-01-P1-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-02-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-03-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-04-P4-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-05-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-06-P6-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-07-P7-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-08-P8-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-10-P10-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-11-P11-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-12-P13-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-13-P14-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-14-P15-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-15-P16-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-16-P17-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-17-P18-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-18-P19-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-19-P20-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-20-P21-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-21-P22-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-22-P24-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_1-Scene-23-P25-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-01-P26-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-02-P27-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-03-P28-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-04-P29-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-05-P30-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-06-P31-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-07-P32-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-08-P33-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-09-P34-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-10-P35-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-11-P36-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-13-P38-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-14-P39-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-15-P40-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-16-P42-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-17-P43-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-19-P45-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-20-P46-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-21-P47-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-22-P48-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-23-P49-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001080/ZSD3/100X_zstack/3500001080_100X_20170717_2-Scene-25-P51-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-01-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-02-P4-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-03-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-04-P7-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-05-P8-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_1-Scene-09-P14-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-01-P16-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-02-P18-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-03-P19-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-04-P20-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-05-P21-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-07-P23-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-08-P24-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-09-P25-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001128/ZSD3/100X_zstack/3500001128_100X_20170728_2-Scene-10-P26-E07.czi,6,3
