path_czi,channel_signal,channel_target
data/desmoplakin/3500001124_100X_20170725_5-Scene-04-P19-E06.czi,6,3
data/desmoplakin/3500001121_100X_20170726_2-Scene-04-P28-F04.czi,6,3
data/desmoplakin/3500001101_100X_20170722_1-Scene-17-P18-F04.czi,6,3
data/desmoplakin/3500001182_100X_20170814_1-Scene-09-P25-F04.czi,6,3
data/desmoplakin/3500001121_100X_20170726_2-Scene-10-P34-F05.czi,6,3
data/desmoplakin/3500001121_100X_20170726_1-Scene-14-P16-E07.czi,6,3
data/desmoplakin/3500001078_100X_20170717_1-Scene-8-P8-E08.czi,6,3
data/desmoplakin/3500001085_100X_20170719_1-Scene-6-P6-E04.czi,6,3
data/desmoplakin/3500001101_100X_20170722_1-Scene-05-P6-E04.czi,6,3
data/desmoplakin/3500001108_100X_20170724_2c-Scene-10-P30-F06.czi,6,3
data/desmoplakin/3500001080_100X_20170717_1-Scene-02-P2-E04.czi,6,3
data/desmoplakin/3500001077_100X_20170717_2-Scene-12-P39-F06.czi,6,3
data/desmoplakin/3500001126_100X_20170728_2-Scene-08-P28-E08.czi,6,3
data/desmoplakin/3500001077_100X_20170717_1-Scene-11-P11-E05.czi,6,3
data/desmoplakin/3500001079_100X_20170717_2c-Scene-02-P22-E08.czi,6,3
data/desmoplakin/3500001169_100X_20170808_1-Scene-3-P9-E04.czi,6,3
data/desmoplakin/3500001078_100X_20170717_3-Scene-13-P33-F07.czi,6,3
data/desmoplakin/3500001124_100X_20170725_6-Scene-01-P25-E07.czi,6,3
data/desmoplakin/3500001170_100X_20170808_17_65_2e-Scene-3-P31-E07.czi,6,3
data/desmoplakin/3500001108_100X_20170724_2c-Scene-11-P31-F06.czi,6,3
data/desmoplakin/3500001100_100X_20170721_1-Scene-4-P4-E04.czi,6,3
data/desmoplakin/3500001077_100X_20170717_1-Scene-10-P10-E05.czi,6,3
data/desmoplakin/3500001078_100X_20170717_2-Scene-04-P12-F04.czi,6,3
data/desmoplakin/3500001167_100X_20170808_1-Scene-03-P9-F04.czi,6,3
data/desmoplakin/3500001093_100X_20170718_3-Scene-08-P6-F06.czi,6,3
data/desmoplakin/3500001126_100X_20170728_3-Scene-01-P41-F06.czi,6,3
data/desmoplakin/3500001188_100X_20170814_1e-Scene-08-P22-F05.czi,6,3
data/desmoplakin/3500001118_100X_20170726_4-Scene-11-P34-E08.czi,6,3
data/desmoplakin/3500001160_100X_20170807_17_65_1-Scene-01-P3-E06.czi,6,3
data/desmoplakin/3500001085_100X_20170719_3-Scene-09-P28-E08.czi,6,3
