path_czi,channel_signal,channel_target
data/dna/3500000913_100X_20170519_4-Scene-18-P38-E07.czi,3,2
data/dna/3500000884_100X_20170509_2-Scene-02-P2-E05.czi,6,5
data/dna/3500000958_10X_20170606_1-Scene-07-P7-E04.czi,6,5
data/dna/3500000899_100X_20170515_3-Scene-06-P26-E06.czi,6,5
data/dna/3500001034_100X_20170705_4c-Scene-2-P19-F04.czi,6,5
data/dna/3500000781_100X_20170331_e-Scene-10-P30-D08.czi,6,5
data/dna/3500000987_100X_20170619_5-Scene-3-P27-F04.czi,6,5
data/dna/3500000899_100X_20170515_4-Scene-07-P47-E08.czi,6,5
data/dna/3500000954_100X_20170607_1-Scene-04-P4-E04.czi,6,5
data/dna/3500001034_100X_20170705_1r-Scene-3-P3-E04.czi,6,5
data/dna/3500000939_100X_20170526_2-Scene-2-P3-E04.czi,6,5
data/dna/3500001010_100X_20170626_5-Scene-06-P46-F04.czi,6,5
data/dna/3500000961_100X_20170609_2-Scene-12-P33-E08.czi,6,5
data/dna/3500001012_100X_20170627_3-Scene-17-P29-E08.czi,6,5
data/dna/3500000913_100X_20170519_3-Scene-02-P12-E05.czi,3,2
data/dna/3500000997_100X_20170621_6-Scene-10-P50-E08.czi,6,5
data/dna/3500000949_100X_20170531_11-Scene-8-P34-E07.czi,6,5
data/dna/3500000757_100X_20170327_1-Scene-4-P10-D04.czi,6,5
data/dna/3500000994_100X_20170621_4-Scene-2-P18-E05.czi,6,5
data/dna/3500000968_100X_20170612_2-Scene-01-P29-E07.czi,6,5
data/dna/3500000961_100X_20170609_2-Scene-23-P44-F08.czi,6,5
data/dna/3500000693_100X_20170310_D06_P26.czi,6,5
data/dna/3500000684_100X_20170307_E05_P15_P16-Scene-1-P16-E05.czi,6,5
data/dna/3500000971_100X_20170614_3-Scene-03-P33-F04.czi,6,5
data/dna/3500001009_100X_20170627_5-Scene-11-P42-F06.czi,6,5
data/dna/3500000913_100X_20170519_6-Scene-01-P49-F05.czi,3,2
data/dna/3500000876_100X_20170508_2-Scene-01-P11-E04.czi,6,5
data/dna/3500000938_100X_20170526_2-Scene-1-P11-E05.czi,6,5
data/dna/3500000636_100X_20170227_F05_P25.czi,6,5
data/dna/3500000987_100X_20170619_3-Scene-6-P18-E05.czi,6,5
