path_czi,channel_signal,channel_target
data/fibrillarin/3500000429_100X_20170120_F06_P29.czi,6,3
data/fibrillarin/3500000427_100X_20170120_F05_P28.czi,3,1
data/fibrillarin/3500000427_100X_20170120_E06_P05.czi,3,1
data/fibrillarin/3500000418_100X_20170117_F07_P29.czi,6,3
data/fibrillarin/3500000427_100X_20170120_E06_P01.czi,3,1
data/fibrillarin/3500000418_100X_20170117_E07_P42.czi,6,3
data/fibrillarin/3500000416_100X_20170117_E07_P09.czi,3,1
data/fibrillarin/3500000427_100X_20170120_F05_P27.czi,3,1
data/fibrillarin/3500000418_100X_20170117_F05_P20.czi,6,3
data/fibrillarin/3500000429_100X_20170120_F07_P24.czi,6,3
data/fibrillarin/3500000418_100X_20170117_E07_P38.czi,6,3
data/fibrillarin/3500000418_100X_20170117_F06_P15.czi,6,3
data/fibrillarin/3500000429_100X_20170120_E06_P06.czi,6,3
data/fibrillarin/3500000418_100X_20170117_E05_P07.czi,6,3
data/fibrillarin/3500000429_100X_20170120_E07_P13.czi,6,3
data/fibrillarin/3500000429_100X_20170120_F06_P30.czi,6,3
data/fibrillarin/3500000429_100X_20170120_F07_P26.czi,6,3
data/fibrillarin/3500000416_100X_20170117_E07_P04.czi,3,1
data/fibrillarin/3500000429_100X_20170120_F05_P41.czi,6,3
data/fibrillarin/3500000418_100X_20170117_E05_P01.czi,6,3
data/fibrillarin/3500000427_100X_20170120_E06_P07.czi,3,1
data/fibrillarin/3500000418_100X_20170117_E05_P03.czi,6,3
data/fibrillarin/3500000416_100X_20170117_F07_P34.czi,3,1
data/fibrillarin/3500000429_100X_20170120_E06_P12.czi,6,3
data/fibrillarin/3500000418_100X_20170117_E05_P05.czi,6,3
data/fibrillarin/3500000429_100X_20170120_E06_P09.czi,6,3
data/fibrillarin/3500000418_100X_20170117_F07_P31.czi,6,3
data/fibrillarin/3500000418_100X_20170117_E06_P11.czi,6,3
data/fibrillarin/3500000416_100X_20170117_E07_P13.czi,3,1
data/fibrillarin/3500000427_100X_20170120_F07_P47.czi,3,1
