path_czi,channel_signal,channel_target
data/lamin_b1/3500000954_100X_20170607_4-Scene-13-P43-F06.czi,6,3
data/lamin_b1/3500000500_100X_20170130_E07_P19.czi,6,3
data/lamin_b1/3500000958_10X_20170606_4-Scene-09-P36-E07.czi,6,3
data/lamin_b1/3500000922_100X_20170522_2-Scene-12-P32-F06.czi,6,3
data/lamin_b1/3500000884_100X_20170509_2-Scene-04-P4-E05.czi,6,3
data/lamin_b1/3500000924_100X_20170522_4-Scene-16-P54-F06.czi,3,1
data/lamin_b1/3500000899_100X_20170515_1-Scene-07-P7-E04.czi,6,3
data/lamin_b1/3500000953_100X_20170607_3r-Scene-1-P22-F06.czi,6,3
data/lamin_b1/3500000883_100X_20170509_E07_P07.czi,3,1
data/lamin_b1/3500000958_10X_20170606_5-Scene-10-P46-F04.czi,6,3
data/lamin_b1/3500000915_100X_20170519_3-Scene-07-P30-E07.czi,6,3
data/lamin_b1/3500000935_100X_20170524_5-Scene-09-P39-F06.czi,6,3
data/lamin_b1/3500000876_100X_20170508_3-Scene-01-P21-E06.czi,6,3
data/lamin_b1/3500000892_100X_20170512_6-Scene-03-P43-F07.czi,3,1
data/lamin_b1/3500000943_100X_20170530_4-Scene-4-P14-E05.czi,6,3
data/lamin_b1/3500000926_100X_20170523_3-Scene-03-P23-E06.czi,6,3
data/lamin_b1/3500000938_100X_20170526_5-Scene-6-P62-F07.czi,6,3
data/lamin_b1/3500000950_100X_20170531_7-Scene-05-P35-E07.czi,6,3
data/lamin_b1/3500000876_100X_20170508_3-Scene-02-P22-E06.czi,6,3
data/lamin_b1/3500000893_100X_20170512_3-Scene-1-P28-E07.czi,6,3
data/lamin_b1/3500000893_100X_20170512_3-Scene-4-P31-E08.czi,6,3
data/lamin_b1/3500000953_100X_20170607_3c-Scene-1-P25-F06.czi,6,3
data/lamin_b1/3500000953_100X_20170607_5r-Scene-1-P40-E05.czi,6,3
data/lamin_b1/3500000884_100X_20170509_2-Scene-02-P2-E05.czi,6,3
data/lamin_b1/3500000933_100X_20170523_2-Scene-2-P4-E04.czi,3,1
data/lamin_b1/3500000954_100X_20170607_1-Scene-07-P7-E05.czi,6,3
data/lamin_b1/3500000939_100X_20170526_4-Scene-05-P15-E05.czi,6,3
data/lamin_b1/3500000956_100X_20170606_4c-Scene-1-P34-F05.czi,6,3
data/lamin_b1/3500000489_100X_20170127_E07_P38.czi,3,1
data/lamin_b1/3500000884_100X_20170509_1-Scene-05-P65-F04.czi,6,3
