path_czi,channel_signal,channel_target
data/membrane/3500000883_100X_20170509_F06_P38.czi,3,0
data/membrane/3500000935_100X_20170524_5-Scene-07-P37-F06.czi,6,1
data/membrane/3500000969_100X_20170613_4-Scene-06-P36-F04.czi,6,1
data/membrane/3500000935_100X_20170524_6-Scene-3-P43-F07.czi,6,1
data/membrane/3500000922_100X_20170522_1-Scene-04-P4-F04.czi,6,1
data/membrane/3500000935_100X_20170524_4-Scene-01-P22-F05.czi,6,1
data/membrane/3500000654_100X_20170301_F08_P14.czi,3,0
data/membrane/3500001012_100X_20170627_4-Scene-03-P33-F04.czi,6,1
data/membrane/3500000922_100X_20170522_2-Scene-11-P31-F06.czi,6,1
data/membrane/3500000980_100X_20170616_7-Scene-6-P39-E07.czi,6,1
data/membrane/3500000726_100X_20170320_3-Scene-08-P16-E07.czi,3,0
data/membrane/3500000933_100X_20170523_2-Scene-1-P3-E04.czi,3,0
data/membrane/3500000876_100X_20170508_3-Scene-01-P21-E06.czi,6,1
data/membrane/3500000959_100X_20170609_5-Scene-01-P21-E06.czi,6,1
data/membrane/3500000893_100X_20170512_1-Scene-09-P9-E04.czi,6,1
data/membrane/3500000922_100X_20170522_2-Scene-17-P37-F06.czi,6,1
data/membrane/3500001034_100X_20170705_5e-Scene-3-P43-F08.czi,6,1
data/membrane/3500000875_100X_20170508_12-Scene-2-P36-E06.czi,3,0
data/membrane/3500000954_100X_20170607_1-Scene-01-P1-E04.czi,6,1
data/membrane/3500000949_100X_20170531_6-Scene-3-P14-E05.czi,6,1
data/membrane/3500000964_100X_20170612_5-Scene-3-P23-E06.czi,6,1
data/membrane/3500001016_100X_20170628_4-Scene-14-P26-E08.czi,6,1
data/membrane/3500000915_100X_20170519_3-Scene-26-P49-F08.czi,6,1
data/membrane/3500000926_100X_20170523_5-Scene-10-P50-E08.czi,6,1
data/membrane/3500000968_100X_20170612_1-Scene-22-P22-E06.czi,6,1
data/membrane/3500001003_100X_20170623_2-Scene-19-P44-F08.czi,6,1
data/membrane/3500000935_100X_20170524_4-Scene-06-P27-F05.czi,6,1
data/membrane/3500001010_100X_20170626_2-Scene-01-P11-E05.czi,6,1
data/membrane/3500000968_100X_20170612_1-Scene-01-P1-E04.czi,6,1
data/membrane/3500000668_100X_20170306_E05_P25.czi,3,0
