path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_1e-Scene-03-P7-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_1e-Scene-05-P13-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_1e-Scene-15-P43-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_1e-Scene-20-P58-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-01-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-02-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-04-P11-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-05-P14-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-06-P17-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-08-P23-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-15-P44-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_2r-Scene-16-P47-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-01-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-02-P6-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-04-P12-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-06-P18-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-07-P21-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-08-P24-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001217/ZSD1/100X_zstack/3500001217_100X_20170821_3-Scene-12-P36-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-02-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-03-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-05-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-06-P6-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-07-P7-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-08-P8-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-09-P10-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-10-P11-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-11-P12-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-12-P13-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-13-P14-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_1-Scene-14-P15-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-01-P16-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-02-P17-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-03-P18-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-04-P19-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-05-P20-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-06-P21-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-07-P22-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-08-P23-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-09-P24-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-10-P25-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-11-P26-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-12-P27-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-13-P28-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-14-P29-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_2-Scene-15-P30-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-01-P31-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-03-P33-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-04-P34-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-05-P35-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-06-P36-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-07-P37-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-08-P38-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001198/ZSD3/100X_zstack/3500001198_100X_20170815_3-Scene-09-P39-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_1-Scene-1-P1-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-01-P4-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-02-P5-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-03-P6-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-05-P8-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-06-P9-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-07-P10-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-18-P21-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_2-Scene-21-P24-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-02-P29-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-03-P30-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-04-P31-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-05-P32-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-06-P33-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-07-P34-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-08-P35-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-09-P36-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-10-P37-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-11-P38-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001152/ZSD2/100X_zstack/3500001152_100X_20170804_3-Scene-12-P39-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001157/ZSD3/100X_zstack/3500001157_100X_20170807_1-Scene-1-P1-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001157/ZSD3/100X_zstack/3500001157_100X_20170807_1-Scene-4-P4-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001157/ZSD3/100X_zstack/3500001157_100X_20170807_1-Scene-5-P5-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001157/ZSD3/100X_zstack/3500001157_100X_20170807_2-Scene-1-P6-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001157/ZSD3/100X_zstack/3500001157_100X_20170807_2-Scene-3-P8-E05.czi,6,3
