path_czi,channel_signal,channel_target
data/sec61_beta/3500001130_100X_20170728_1-Scene-05-P5-E08.czi,6,3
data/sec61_beta/3500001217_100X_20170821_1e-Scene-19-P55-F08.czi,6,3
data/sec61_beta/3500001191_100X_20170815_4-Scene-09-P24-F05.czi,6,3
data/sec61_beta/3500001152_100X_20170804_3-Scene-02-P29-F05.czi,6,3
data/sec61_beta/3500001131_100X_20170728_1-Scene-31-P36-F05.czi,6,3
data/sec61_beta/3500001153_100X_20170804_2-Scene-03-P33-F08.czi,6,3
data/sec61_beta/3500001179_100X_20170811_2r-Scene-3-P26-F07.czi,6,3
data/sec61_beta/3500001175_100X_20170811_2r-Scene-1-P2-E04.czi,6,3
data/sec61_beta/3500001191_100X_20170815_3-Scene-02-P7-E04.czi,6,3
data/sec61_beta/3500001130_100X_20170728_1-Scene-24-P24-F06.czi,6,3
data/sec61_beta/3500001198_100X_20170815_1-Scene-03-P3-E04.czi,6,3
data/sec61_beta/3500001217_100X_20170821_3-Scene-05-P15-E05.czi,6,3
data/sec61_beta/3500001217_100X_20170821_1e-Scene-13-P37-F06.czi,6,3
data/sec61_beta/3500001218_100X_20170821_1r-Scene-02-P5-E04.czi,6,3
data/sec61_beta/3500001198_100X_20170815_2-Scene-11-P26-F05.czi,6,3
data/sec61_beta/3500001157_100X_20170807_2-Scene-4-P9-E05.czi,6,3
data/sec61_beta/3500001217_100X_20170821_3-Scene-02-P6-E04.czi,6,3
data/sec61_beta/3500001205_100X_20170818_5r-Scene-02-P14-E08.czi,6,3
data/sec61_beta/3500001155_100X_20170807_4-Scene-04-P15-E06.czi,6,3
data/sec61_beta/3500001205_100X_20170818_1e-Scene-2-P4-E06.czi,6,3
data/sec61_beta/3500001153_100X_20170804_2-Scene-24-P54-F05.czi,6,3
data/sec61_beta/3500001191_100X_20170815_3-Scene-05-P10-E04.czi,6,3
data/sec61_beta/3500001191_100X_20170815_4-Scene-01-P16-F04.czi,6,3
data/sec61_beta/3500001131_100X_20170728_1-Scene-18-P20-E07.czi,6,3
data/sec61_beta/3500001205_100X_20170818_6-Scene-07-P21-F04.czi,6,3
data/sec61_beta/3500001157_100X_20170807_5-Scene-14-P44-F05.czi,6,3
data/sec61_beta/3500001130_100X_20170728_1-Scene-21-P21-F07.czi,6,3
data/sec61_beta/3500001175_100X_20170811_3r-Scene-05-P23-E06.czi,6,3
data/sec61_beta/3500001131_100X_20170728_1-Scene-20-P23-F08.czi,6,3
data/sec61_beta/3500001191_100X_20170815_4-Scene-14-P30-F06.czi,6,3
