path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_1-Scene-02-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_1-Scene-03-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_2-Scene-03-P13-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_2-Scene-04-P14-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_2-Scene-05-P15-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_2-Scene-06-P16-F04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_3-Scene-03-P21-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_3-Scene-06-P24-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_3-Scene-07-P25-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_3-Scene-09-P27-F05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_4-Scene-02-P32-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_4-Scene-07-P37-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_4-Scene-09-P39-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_4-Scene-10-P40-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001250/ZSD2/100X_zstack/3500001250_100X_20170829_4-Scene-15-P45-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001287/ZSD1/100X_zstack/3500001287_10X_20170915_1-Scene-03-P9-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001287/ZSD1/100X_zstack/3500001287_10X_20170915_1-Scene-04-P12-E05.czi,6,3
