path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-01-P1-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-02-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-03-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-04-P4-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-05-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-06-P6-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-07-P7-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-08-P8-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-09-P9-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_1-Scene-10-P10-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-01-P11-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-02-P12-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-03-P13-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-07-P17-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-08-P18-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-09-P19-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_2-Scene-10-P20-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-01-P21-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-02-P22-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-03-P23-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-04-P24-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-05-P25-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-06-P26-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-07-P27-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-08-P28-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-09-P29-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_3-Scene-10-P30-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500000982/ZSD3/100X_zstack/3500000982_100X_20170620_4-Scene-01-P31-E07.czi,6,3
