path_czi,channel_signal,channel_target
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-03-P7-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-06-P16-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-07-P19-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-08-P22-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-10-P28-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-11-P31-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_1e-Scene-12-P34-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_2e-Scene-3-P46-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_2e-Scene-4-P49-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_2e-Scene-5-P52-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_2e-Scene-6-P55-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_2e-Scene-7-P58-F08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_3r-Scene-1-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-02-P20-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-03-P23-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-04-P26-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-06-P32-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-07-P35-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-08-P38-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-09-P41-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-11-P47-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-12-P50-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_4r-Scene-13-P53-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-01-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-02-P6-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-03-P9-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-04-P12-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-05-P15-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-06-P18-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-07-P21-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-08-P24-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-09-P27-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-11-P33-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-14-P42-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-16-P48-F06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-17-P51-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-18-P54-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001380/ZSD2/100X_zstack/3500001380_100X_20171009_5-Scene-19-P57-F07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-1-P1-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-2-P2-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-3-P3-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-4-P4-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-5-P5-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_1-Scene-6-P6-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-1-P8-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-2-P9-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-3-P10-E04.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-4-P11-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-5-P12-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-6-P13-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-7-P14-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_2-Scene-8-P15-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-01-P16-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-02-P17-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-04-P19-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-07-P22-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-08-P23-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-09-P24-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_3-Scene-13-P28-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-02-P31-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-03-P32-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-05-P34-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-06-P35-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-07-P36-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-08-P37-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-09-P38-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-10-P39-E07.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-14-P43-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-15-P44-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001327/ZSD1/100X_zstack/3500001327_100X_20170926_4-Scene-16-P45-E08.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-01-P1-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-05-P5-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-06-P6-E05.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-07-P8-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-08-P9-E06.czi,6,3
//allen/aics/microscopy/PRODUCTION/PIPELINE_4_OptimizationAutomation/3500001358/ZSD1/100X_zstack/3500001358_100X_20171002_1-Scene-13-P14-E06.czi,6,3
